id;name;lat;lon;category;subcategory;wheelchair;source
osm:way_157958219;Parco Villoresi - Monza;45.58789456302768;9.245316199493748;leisure;park;;osm_way
osm:way_158091742;Residenza Anni Azzurri Villa Reale;45.579632297118984;9.24335056782103;amenity;retirement_home;;osm_way
osm:way_158091830;Golf Monza;45.58722635639978;9.237470540638219;leisure;golf_course;;osm_way
osm:way_158545124;Campo Adriano Chiolo;45.56138048770031;9.277725916607697;leisure;sports_centre;;osm_way
osm:way_159851032;Banca Intesa;45.567236368117754;9.26311483744643;amenity;bank;yes;osm_way
osm:way_159851563;La Fabbrica dei Sapori;45.5687259;9.263306599999998;amenity;food_court;;osm_way
osm:way_161689927;Cascina Cernuschi;45.598173730695635;9.284172969375405;amenity;police;;osm_way
osm:way_161706965;Villa Mirabello;45.604368530797316;9.284468635654422;tourism;attraction;;osm_way
osm:way_161992971;Residence Oasi di Monza;45.57923465;9.29747435;tourism;apartment;;osm_way
osm:way_161992998;Parrocchia Sacra Famiglia;45.57812953947343;9.298884107391583;amenity;place_of_worship;;osm_way
osm:way_166261429;Clean Car;45.589231017980175;9.31060180087622;amenity;car_wash;;osm_way
osm:way_166261459;Q8;45.58707525204892;9.310238887813721;amenity;fuel;;osm_way
osm:way_179968220;Curva Biassono;45.628848288981544;9.284045835525092;sport;motor;;osm_way
osm:way_179968226;Curva Vialone;45.622655568490956;9.285926347529973;sport;motor;;osm_way
osm:way_179968228;Curva del Serraglio;45.626484536577735;9.292115842719097;sport;motor;;osm_way
osm:way_179968229;Lesmo 1;45.63109773241542;9.2960575561928;sport;motor;;osm_way
osm:way_179968230;Lesmo 2;45.62848090819113;9.296759766394215;sport;motor;;osm_way
osm:way_179968234;Curva Alboreto;45.61352135243548;9.281882654595414;sport;motor;;osm_way
osm:way_179968239;Variante Ascari;45.62182614285796;9.285748080416322;sport;motor;;osm_way
osm:way_179968245;Variante della Roggia;45.63209129104241;9.293135037727083;sport;motor;;osm_way
osm:way_180355683;Park Residenze;45.5996212744565;9.258569487416654;tourism;apartment;;osm_way
osm:way_193475050;Ex Circuito Pirelli;45.62769615337211;9.28464142761318;sport;motor;;osm_way
osm:way_194457109;Parcheggio di Porta Vedano;45.61093705564196;9.278963923439829;amenity;parking;;osm_way
osm:way_194458108;Centro Medico;45.61597541955438;9.281681441925407;amenity;hospital;;osm_way
osm:way_194459846;Saint Georges Premier;45.60703350105148;9.29104522458587;amenity;restaurant;;osm_way
osm:way_196292697;LibertHub;45.59037388612361;9.302889853644317;amenity;community_centre;yes;osm_way
osm:way_196295729;Liceo Statale Carlo Porta;45.588010442428114;9.299742788950159;amenity;school;;osm_way
osm:way_196296807;TotalErg;45.58981292724911;9.298872596486278;amenity;fuel;;osm_way
osm:way_204480577;Chiesa di Santa Maria al Carrobiolo;45.58705506191572;9.27748768158991;amenity;place_of_worship;;osm_way
osm:way_204483144;Chiesa di Santa Maria Maddalena e Santa Teresa;45.58164293127556;9.274392386078972;amenity;place_of_worship;yes;osm_way
osm:way_204483312;Torre di Teodolinda;45.583977800323964;9.276830099957216;tourism;attraction;;osm_way
osm:way_204485048;Santuario di Santa Maria delle Grazie;45.591665483671534;9.28494047281631;amenity;place_of_worship;;osm_way
osm:way_206419696;Palazzo Porchera Bellini;45.58630004173768;9.275828953779133;historic;yes;;osm_way
osm:way_206419987;Procura di Monza;45.58564480246263;9.276840277722881;office;government;;osm_way
osm:way_206426741;Casa Oriani;45.58378285072127;9.27467035918404;historic;yes;;osm_way
osm:way_206427032;Farmacia Predari;45.58339055644956;9.273995754318216;amenity;pharmacy;;osm_way
osm:way_219396373;Paddock 1;45.61732850964685;9.282127433803632;amenity;parking;;osm_way
osm:way_222807439;Terrazza Cambiaghi;45.58130554860806;9.277792190961062;amenity;restaurant;;osm_way
osm:way_222807640;Camera di Commercio di Milano, Monza Brianza e Lodi;45.581588521690485;9.277899764124664;office;government;;osm_way
osm:way_222807803;Pizzeria del Centro;45.58212171562538;9.276563851719553;amenity;restaurant;;osm_way
osm:way_222815482;Il Gigante;45.58199503027094;9.279654244556585;shop;supermarket;yes;osm_way
osm:way_222827259;Parcheggio Stazione Monza Sobborghi;45.58220193170413;9.285572948297366;amenity;parking;;osm_way
osm:way_223399524;Cristo Re;45.59202642542853;9.302383512549921;amenity;place_of_worship;yes;osm_way
osm:way_223404245;Istituto Tecnico Statale Commerciale e per Geometri Achille Mapelli;45.592413287296885;9.307239508345479;amenity;school;yes;osm_way
osm:way_223878176;Iper Express;45.58690153342754;9.313809196400284;shop;supermarket;yes;osm_way
osm:way_224637926;Hotel Royal Falcone;45.579695143546665;9.273204836019424;tourism;hotel;;osm_way
osm:way_224637932;La Rinascente;45.58037400287128;9.274163636297176;shop;department_store;;osm_way
osm:way_224637962;Nine Hotel;45.5819486690753;9.276368675394613;tourism;hotel;;osm_way
osm:way_224741465;Braspi;45.58024912907627;9.312083903326558;office;company;;osm_way
osm:way_225707312;Bar Cavriga;45.598339100000004;9.274617350000002;amenity;cafe;;osm_way
osm:way_226726979;Casa di Riposo Mater Misericordiae;45.586451239045694;9.291106074435493;amenity;social_facility;;osm_way
osm:way_226726992;Galimberti Auto;45.585376756103585;9.291044159107544;shop;car;;osm_way
osm:way_226728498;Chiesa di Sant'Ambrogio;45.58356342177187;9.29064099112986;amenity;place_of_worship;yes;osm_way
osm:way_226730572;Clinica Veterinaria Città di Monza;45.58352429311005;9.28997137183527;amenity;veterinary;;osm_way
osm:way_226732209;Chiesa Cristiana Evangelica A.D.I.;45.582322779229806;9.288559241643561;amenity;place_of_worship;;osm_way
osm:way_227168954;Monumento ai Caduti;45.583571400000004;9.273375649999998;tourism;attraction;no;osm_way
osm:way_227174546;Chiesa della Beata Vergine Addolorata;45.57433845000001;9.3006413;amenity;place_of_worship;;osm_way
osm:way_227186827;Regina Pacis;45.57730497642096;9.283167144408196;amenity;place_of_worship;yes;osm_way
osm:way_227186829;Campo Sportivo Regina Pacis;45.5767276;9.2837544;leisure;pitch;yes;osm_way
